transaction_id,timestamp,amount,sender_city,receiver_city,sender_bank,receiver_bank,merchant_category,transaction_type,device_type,is_new_recipient,failed_attempts,is_fraud,hour,day_of_week,month,is_odd_hour,cross_city
TXN2894877,2023-04-23 12:36:00,5799.1,Bengaluru,Hyderabad,BOB,PNB,Electricity Board,Bill Payment,iOS,0,0,0,12,Sunday,4,0,1
TXN2567533,2023-12-24 10:46:00,70.49,Ahmedabad,Hyderabad,HDFC,SBI,Zomato,P2P,Android,0,1,0,10,Sunday,12,0,1
TXN8033277,2023-12-11 13:11:00,160.91,Delhi,Delhi,SBI,SBI,Flipkart,Bill Payment,iOS,0,0,0,13,Monday,12,0,0
TXN1761639,2023-11-05 21:05:00,245.17,Jaipur,Delhi,BOB,Axis,Amazon,P2P,Android,0,1,0,21,Sunday,11,0,1
TXN9756614,2023-07-29 23:50:00,888.2,Kolkata,Ahmedabad,Kotak,ICICI,Swiggy,Bill Payment,Android,0,0,0,23,Saturday,7,1,1
TXN8062175,2023-05-13 13:08:00,80.55,Chennai,Delhi,Yes Bank,ICICI,LIC,P2M,iOS,0,0,0,13,Saturday,5,0,1
TXN3047722,2023-12-25 18:57:00,324.65,Jaipur,Hyderabad,Yes Bank,BOB,Swiggy,Recharge,Android,1,0,0,18,Monday,12,0,1
TXN9351128,2023-10-25 07:23:00,292.76,Hyderabad,Mumbai,Axis,Yes Bank,Paytm,P2M,iOS,0,2,0,7,Wednesday,10,0,1
TXN8654568,2023-05-27 12:34:00,555.49,Pune,Kolkata,Yes Bank,Axis,Electricity Board,P2P,Android,0,0,0,12,Saturday,5,0,1
TXN3751363,2023-02-16 15:20:00,228.91,Delhi,Delhi,HDFC,Yes Bank,Individual,Bill Payment,Android,0,0,0,15,Thursday,2,0,0
TXN2054221,2023-12-19 20:48:00,2011.37,Mumbai,Jaipur,PNB,Yes Bank,Flipkart,Bill Payment,Android,1,0,0,20,Tuesday,12,0,1
TXN9339211,2023-07-31 22:43:00,425.51,Jaipur,Delhi,HDFC,BOB,PhonePe,Investment,Android,1,0,0,22,Monday,7,1,1
TXN8931448,2023-06-28 20:40:00,57.99,Chennai,Jaipur,BOB,Axis,Myntra,Bill Payment,Android,0,0,0,20,Wednesday,6,0,1
TXN9758429,2023-11-09 08:22:00,947.56,Jaipur,Jaipur,Kotak,HDFC,MakeMyTrip,P2M,Android,0,0,0,8,Thursday,11,0,0
TXN7184379,2023-10-19 11:01:00,377.2,Lucknow,Chennai,Axis,BOB,Swiggy,Investment,Android,1,2,0,11,Thursday,10,0,1
TXN4419947,2023-02-26 21:03:00,84.02,Ahmedabad,Kolkata,HDFC,Axis,Paytm,P2M,iOS,0,0,0,21,Sunday,2,0,1
